fn,game,bucket,true,pred,top1_sim,gap,hit1,confident
PXL_20260614_145820431.jpg,yugioh,distinct,ygo-SGX3-END15-81325903,mtg-mat-197,0.7861,0.0009,False,False
PXL_20260614_145828626.jpg,yugioh,distinct,ygo-GFTP-EN023-65563871,mtg-me4-162,0.7256,0.0098,False,False
PXL_20260614_145839954.jpg,yugioh,distinct,ygo-MP24-EN350-19271881,mtg-mkm-387,0.8215,0.004,False,False
PXL_20260614_145846075.jpg,yugioh,distinct,ygo-SGX3-ENE03-35975813,mtg-clb-76,0.8373,0.0006,False,False
PXL_20260614_145853801.jpg,yugioh,distinct,ygo-MP24-EN382-11802691,np-28,0.6961,0.0208,False,False
PXL_20260614_145900355.jpg,yugioh,distinct,ygo-MP24-EN322-9175957,mtg-gpt-72,0.7651,0.0011,False,False
PXL_20260614_145905483.jpg,yugioh,distinct,ygo-DUEA-ENDE4-52551211,mtg-fut-61,0.7826,0.03,False,False
PXL_20260614_145914893.jpg,yugioh,distinct,ygo-MP24-EN301-93953933,mtg-c17-45,0.836,0.0025,False,False
PXL_20260614_145922572.jpg,yugioh,distinct,ygo-MP24-EN312-39078434,mtg-40k-263★,0.8309,0.0022,False,False
PXL_20260614_145931434.jpg,mtg,distinct,mtg-snc-26,mtg-snc-26,0.9223,0.0,True,False
PXL_20260614_145940712.jpg,mtg,distinct,mtg-snc-36,mtg-snc-36,0.9367,0.088,True,True
PXL_20260614_145949132.jpg,mtg,distinct,mtg-snc-253,mtg-snc-253,0.9272,0.1325,True,True
PXL_20260614_145959318.jpg,mtg,distinct,mtg-snc-150,mtg-snc-150,0.9132,0.0048,True,False
PXL_20260614_150011334.jpg,mtg,distinct,mtg-snc-84,mtg-snc-465,0.8731,0.013,False,False
PXL_20260614_150015927.jpg,pokemon,distinct,sv8pt5-79,sv5-128,0.9299,0.0004,False,False
PXL_20260614_150023502.jpg,pokemon,distinct,sv8pt5-16,sv8pt5-16,0.931,0.0584,True,True
PXL_20260614_150029944.jpg,pokemon,distinct,sv6-161,sv6-161,0.8557,0.1541,True,True
PXL_20260614_150036169.jpg,pokemon,distinct,sv3pt5-86,sv3pt5-86,0.9139,0.0429,True,True
PXL_20260614_150042218.jpg,pokemon,distinct,sv3pt5-74,sv3pt5-74,0.8845,0.086,True,True
PXL_20260614_150049650.jpg,pokemon,distinct,sv3pt5-58,sv3pt5-58,0.9197,0.0575,True,True
PXL_20260614_150058376.jpg,pokemon,distinct,sv8pt5-77,sv8pt5-77,0.9197,0.1166,True,True
PXL_20260614_150103783.jpg,pokemon,distinct,me2pt5-169,me2pt5-169,0.8949,0.0337,True,True
PXL_20260614_150112135.jpg,pokemon,distinct,me2pt5-54,me2pt5-54,0.8952,0.0475,True,True
PXL_20260614_150120399.jpg,pokemon,distinct,me2pt5-117,me2pt5-117,0.9049,0.0512,True,True
PXL_20260614_150127161.jpg,pokemon,distinct,me2pt5-65,me2pt5-65,0.9138,0.005,True,False
PXL_20260614_150132945.jpg,pokemon,distinct,me2pt5-166,me2pt5-166,0.9223,0.0767,True,True
PXL_20260614_150138550.jpg,pokemon,distinct,me2pt5-23,sv10-35,0.9184,0.0009,False,False
PXL_20260614_150145533.jpg,pokemon,distinct,me1-18,me1-18,0.89,0.098,True,True
PXL_20260614_150155416.jpg,pokemon,distinct,me1-110,me1-110,0.9232,0.0861,True,True
PXL_20260614_150204085.jpg,pokemon,distinct,me1-62,me1-62,0.9176,0.1125,True,True
PXL_20260614_150214067.jpg,pokemon,distinct,me1-12,me1-12,0.9083,0.0687,True,True
PXL_20260614_150220817.jpg,pokemon,distinct,me1-49,me1-49,0.9291,0.0284,True,True
PXL_20260614_150229795.jpg,pokemon,distinct,me1-11,me1-11,0.9091,0.0815,True,True
PXL_20260614_150236176.jpg,pokemon,distinct,rsv10pt5-69,rsv10pt5-69,0.9436,0.1207,True,True
PXL_20260614_150244788.jpg,pokemon,distinct,sv3-17,sv3-17,0.9079,0.0658,True,True
PXL_20260614_150251334.jpg,pokemon,distinct,sv3-76,sv3-76,0.9008,0.0931,True,True
PXL_20260614_150259142.jpg,pokemon,distinct,swsh12-130,swsh12-130,0.9378,0.0655,True,True
PXL_20260614_150306972.jpg,pokemon,distinct,swsh12-141,swsh12-141,0.9364,0.0669,True,True
PXL_20260614_150313714.jpg,pokemon,distinct,sv1-6,sv1-6,0.9186,0.0704,True,True
PXL_20260614_150322569.jpg,pokemon,distinct,sv1-85,sv1-85,0.9461,0.0005,True,False
PXL_20260614_150330244.jpg,pokemon,distinct,sv8-168,sv8-168,0.8676,0.0846,True,True
PXL_20260614_150336380.jpg,pokemon,distinct,sv8pt5-71,me2pt5-158,0.9283,0.0005,False,False
PXL_20260614_150341969.jpg,pokemon,distinct,sv3pt5-39,sv3pt5-39,0.9324,0.0728,True,True
PXL_20260614_150350811.jpg,pokemon,distinct,sv8pt5-68,sv8pt5-68,0.9195,0.0739,True,True
PXL_20260614_150401176.jpg,pokemon,distinct,me2pt5-49,me2pt5-49,0.9147,0.0781,True,True
PXL_20260614_150408378.jpg,pokemon,distinct,me2pt5-52,me2pt5-52,0.8925,0.0611,True,True
PXL_20260614_151354527.jpg,yugioh,mixed,ygo-MP24-EN394-54851325,mtg-dgm-131,0.8308,0.0057,False,False
PXL_20260614_151402616.jpg,yugioh,mixed,ygo-SDBT-EN009-36956512,mtg-grn-166,0.8423,0.0089,False,False
PXL_20260614_151411807.jpg,yugioh,mixed,ygo-SGX3-ENE02-49881766,mtg-40k-77★,0.803,0.0069,False,False
PXL_20260614_151420622.jpg,yugioh,mixed,ygo-MP24-EN331-33925864,mtg-mom-1,0.7765,0.0019,False,False
PXL_20260614_151428467.jpg,yugioh,mixed,ygo-BLMR-EN046-97417863,svp-92,0.7381,0.004,False,False
PXL_20260614_151439224.jpg,yugioh,mixed,ygo-SDBT-EN016-85032782,mtg-stx-172,0.8298,0.0025,False,False
PXL_20260614_151447730.jpg,yugioh,mixed,ygo-SGX3-END11-32807846,mtg-dmc-145,0.8307,0.0091,False,False
PXL_20260614_151459012.jpg,yugioh,mixed,ygo-MP24-EN319-12954226,mtg-znr-313,0.8072,0.0013,False,False
PXL_20260614_151505558.jpg,mtg,mixed,mtg-snc-269,mtg-snc-269,0.936,0.0325,True,True
PXL_20260614_151512899.jpg,mtg,mixed,mtg-snc-122,mtg-snc-122,0.9046,0.0674,True,True
PXL_20260614_151526754.jpg,mtg,mixed,mtg-snc-18,mtg-j22-200,0.8663,0.0068,False,False
PXL_20260614_151532589.jpg,mtg,mixed,mtg-snc-132,mtg-snc-132,0.8487,0.0398,True,True
PXL_20260614_151541285.jpg,pokemon,mixed,swsh11-75,swsh11-75,0.922,0.0446,True,True
PXL_20260614_151551049.jpg,pokemon,mixed,me1-112,me1-112,0.923,0.1331,True,True
PXL_20260614_151557195.jpg,pokemon,mixed,swsh11-4,swsh11-4,0.9238,0.0372,True,True
PXL_20260614_151605356.jpg,pokemon,mixed,swsh11-44,swsh11-44,0.9093,0.0702,True,True
PXL_20260614_151612027.jpg,pokemon,mixed,me1-24,me1-24,0.9304,0.0533,True,True
PXL_20260614_151618378.jpg,pokemon,mixed,swsh11-2,swsh11-2,0.9079,0.051,True,True
PXL_20260614_151624928.jpg,pokemon,mixed,swsh11-68,swsh11-68,0.9389,0.0664,True,True
PXL_20260614_151632925.jpg,pokemon,mixed,me2pt5-16,me2pt5-16,0.9038,0.0011,True,False
PXL_20260614_151640950.jpg,pokemon,mixed,rsv10pt5-11,rsv10pt5-11,0.9283,0.0163,True,False
PXL_20260614_151648762.jpg,pokemon,mixed,rsv10pt5-22,rsv10pt5-22,0.9086,0.0656,True,True
PXL_20260614_151658774.jpg,pokemon,mixed,swsh12-31,swsh12-31,0.9324,0.0633,True,True
PXL_20260614_151708246.jpg,pokemon,mixed,zsv10pt5-30,zsv10pt5-30,0.8895,0.0017,True,False
PXL_20260614_151716709.jpg,pokemon,mixed,sv1-22,sv1-22,0.9183,0.0885,True,True
PXL_20260614_151723180.jpg,pokemon,mixed,sv1-12,sv1-12,0.9181,0.0787,True,True
PXL_20260614_151731390.jpg,pokemon,mixed,sv4pt5-86,sv4pt5-86,0.8339,0.0458,True,True
PXL_20260614_151740892.jpg,pokemon,mixed,me2pt5-161,sv10-149,0.8987,0.0009,False,False
PXL_20260614_151746897.jpg,pokemon,mixed,me2pt5-17,me2pt5-17,0.8807,0.0157,True,False
PXL_20260614_151753491.jpg,pokemon,mixed,me2pt5-216,me2pt5-216,0.8954,0.0046,True,False
PXL_20260614_151759942.jpg,pokemon,mixed,sv3pt5-98,sv3pt5-98,0.9471,0.0908,True,True
PXL_20260614_151809612.jpg,pokemon,mixed,sv8pt5-81,sv8pt5-81,0.9316,0.1094,True,True
PXL_20260614_151820267.jpg,pokemon,mixed,me3-75,me3-75,0.9173,0.1067,True,True
PXL_20260614_151829888.jpg,pokemon,mixed,sv8-184,sv8-184,0.9187,0.0534,True,True
PXL_20260614_151837934.jpg,pokemon,mixed,me3-84,me3-84,0.8992,0.0568,True,True
PXL_20260614_151856075.jpg,pokemon,mixed,sv4pt5-18,sv2-62,0.9331,0.0002,False,False
PXL_20260614_151902040.jpg,pokemon,mixed,sv4pt5-77,sv4pt5-77,0.8676,0.1078,True,True
PXL_20260614_151908385.jpg,pokemon,mixed,swsh12-1,swsh12-1,0.9143,0.0504,True,True
PXL_20260614_151918734.jpg,pokemon,mixed,zsv10pt5-74,zsv10pt5-74,0.9118,0.084,True,True
PXL_20260614_151927501.jpg,pokemon,mixed,sv3-126,sv3-126,0.8795,0.0338,True,True
PXL_20260614_151934750.jpg,pokemon,mixed,rsv10pt5-28,rsv10pt5-28,0.8912,0.0544,True,True
PXL_20260614_151941246.jpg,pokemon,mixed,sv3-174,sv3-174,0.9072,0.0571,True,True
PXL_20260614_151948024.jpg,pokemon,mixed,me1-69,me1-69,0.9249,0.0501,True,True
PXL_20260614_151954420.jpg,pokemon,mixed,swsh11-145,swsh11-145,0.8989,0.0351,True,True
PXL_20260614_151959842.jpg,pokemon,mixed,rsv10pt5-1,rsv10pt5-1,0.9051,0.0442,True,True
PXL_20260614_152010902.jpg,pokemon,mixed,rsv10pt5-28,rsv10pt5-28,0.9222,0.0531,True,True
PXL_20260614_152021207.jpg,pokemon,mixed,rsv10pt5-73,rsv10pt5-73,0.9145,0.1013,True,True
PXL_20260614_152028080.jpg,pokemon,mixed,me1-31,me1-31,0.9182,0.0549,True,True
PXL_20260614_152036990.jpg,pokemon,mixed,me1-18,me1-18,0.8914,0.0705,True,True
PXL_20260614_152044949.jpg,pokemon,mixed,rsv10pt5-58,rsv10pt5-58,0.8621,0.0511,True,True
