fn,bucket,true,pred,gap,top5
PXL_20260614_142426760.jpg,variant,ygo-SDBT-EN008-28868394,ygo-MP22-EN063-28868394,0.0,"[[""ygo-MP22-EN063-28868394"", 0.9283876419067383], [""ygo-SDBT-EN008-28868394"", 0.9283876419067383], [""ygo-LIOV-EN016-28868394"", 0.9283876419067383], [""ygo-PRIO-EN025-45803070"", 0.8554413318634033], [""ygo-SDBT-EN006-45803070"", 0.8554413318634033]]"
PXL_20260614_142434918.jpg,variant,ygo-SDBT-EN006-45803070,ygo-MP15-EN018-45803070,0.0,"[[""ygo-MP15-EN018-45803070"", 0.8777817487716675], [""ygo-PRIO-EN025-45803070"", 0.8777817487716675], [""ygo-PGL2-EN041-45803070"", 0.8777817487716675], [""ygo-SDBT-EN006-45803070"", 0.8777817487716675], [""ygo-MAGO-EN075-45803070"", 0.8777817487716675]]"
PXL_20260614_142447926.jpg,variant,ygo-DREV-EN087-79965360,ygo-MP25-EN320-99599062,0.0007,"[[""ygo-MP25-EN320-99599062"", 0.807181179523468], [""ygo-MP25-EN363-89824842"", 0.8064346313476562], [""ygo-MP24-EN007-94259633"", 0.8060634136199951], [""ygo-SGX3-ENI33-39956951"", 0.8052572011947632], [""ygo-MP25-EN114-56506740"", 0.8027456998825073]]"
PXL_20260614_142532460.jpg,variant,me2pt5-99,sv8pt5-44,0.0018,"[[""sv8pt5-44"", 0.919872522354126], [""sv6-95"", 0.9180994629859924], [""me2pt5-99"", 0.9176813364028931], [""sv6pt5-72"", 0.7794383764266968], [""sv3-95"", 0.7724407911300659]]"
PXL_20260614_142936380.jpg,variant,me2pt5-99,sv6-95,0.0035,"[[""sv6-95"", 0.7899209260940552], [""me2pt5-99"", 0.7864596843719482], [""sv8pt5-44"", 0.7857931852340698], [""sv6pt5-72"", 0.7498572468757629], [""sv3pt5-122"", 0.6197842955589294]]"
PXL_20260614_142942971.jpg,distinct,me2pt5-99,sv8pt5-44,0.0007,"[[""sv8pt5-44"", 0.9035859704017639], [""me2pt5-99"", 0.9029289484024048], [""sv6-95"", 0.9020746946334839], [""sv6pt5-72"", 0.758460283279419], [""sv1-43"", 0.7464731335639954]]"
PXL_20260614_145810880.jpg,distinct,ygo-MGED-EN134-33746252,ygo-DUDE-EN035-33746252,0.0,"[[""ygo-DUDE-EN035-33746252"", 0.8885276317596436], [""ygo-RA04-EN216-33746252"", 0.8885276317596436], [""ygo-MGED-EN134-33746252"", 0.8885276317596436], [""ygo-PRIO-EN034-33746252"", 0.8885276317596436], [""ygo-CT12-EN004-33746252"", 0.8885276317596436]]"
PXL_20260614_145820431.jpg,distinct,ygo-SGX3-END15-81325903,ygo-DUEA-EN071-41510920,0.0177,"[[""ygo-DUEA-EN071-41510920"", 0.8818397521972656], [""ygo-DR1-EN139-81325903"", 0.8641844987869263], [""ygo-MFC-084-81325903"", 0.8641844987869263], [""ygo-SGX3-END15-81325903"", 0.8641844987869263], [""ygo-LCJW-EN100-81325903"", 0.8641844987869263]]"
PXL_20260614_145828626.jpg,distinct,ygo-GFTP-EN023-65563871,ygo-SDBT-EN015-89252157,0.0882,"[[""ygo-SDBT-EN015-89252157"", 0.8320487141609192], [""ygo-GFTP-EN026-54340229"", 0.7438020706176758], [""ygo-RA04-EN137-25789292"", 0.7373753786087036], [""ygo-SDBT-EN046-74577599"", 0.7327677011489868], [""ygo-SDBT-EN042-1688285"", 0.7220655083656311]]"
PXL_20260614_145846075.jpg,distinct,ygo-SGX3-ENE03-35975813,ygo-DR1-EN234-35975813,0.0,"[[""ygo-DR1-EN234-35975813"", 0.9189912676811218], [""ygo-DCR-072-35975813"", 0.9189912676811218], [""ygo-SGX3-ENE03-35975813"", 0.9189912676811218], [""ygo-MGED-EN032-15862758"", 0.8649963140487671], [""ygo-MGED-EN007-83965310"", 0.8628150224685669]]"
PXL_20260614_145853801.jpg,distinct,ygo-MP24-EN382-11802691,ygo-DUNE-EN072-11802691,0.0,"[[""ygo-DUNE-EN072-11802691"", 0.7939912676811218], [""ygo-MP24-EN382-11802691"", 0.7939912676811218], [""ygo-MP25-EN017-29762407"", 0.7325829267501831], [""ygo-GFTP-EN069-76587747"", 0.7104787826538086], [""ygo-RA04-EN105-6351147"", 0.7102829813957214]]"
PXL_20260614_145905483.jpg,distinct,ygo-DUEA-ENDE4-52551211,ygo-SGX3-ENE05-73219648,0.053,"[[""ygo-SGX3-ENE05-73219648"", 0.82636958360672], [""ygo-SGX3-ENE06-9603356"", 0.7733414173126221], [""ygo-SGX3-ENG05-31034919"", 0.7594596743583679], [""ygo-DCR-073-61370518"", 0.7529125213623047], [""ygo-SGX3-ENE01-61370518"", 0.7529125213623047]]"
PXL_20260614_145922572.jpg,distinct,ygo-MP24-EN312-39078434,ygo-PHHY-EN015-39078434,0.0,"[[""ygo-PHHY-EN015-39078434"", 0.9302883148193359], [""ygo-MP24-EN312-39078434"", 0.9302883148193359], [""ygo-MP24-EN174-87804747"", 0.8678511381149292], [""ygo-SDBT-EN010-29726552"", 0.8591247797012329], [""ygo-MP25-EN329-6116731"", 0.8556621670722961]]"
PXL_20260614_150015927.jpg,distinct,sv8pt5-79,sv5-128,0.0041,"[[""sv5-128"", 0.9138859510421753], [""sv8pt5-79"", 0.9098035097122192], [""swsh3-137"", 0.8233044147491455], [""hgss1-41"", 0.817146897315979], [""sv6-98"", 0.807054877281189]]"
PXL_20260614_150120399.jpg,distinct,sv8pt5-117,me2pt5-117,0.0644,"[[""me2pt5-117"", 0.8930439949035645], [""me2pt5-242"", 0.8286646604537964], [""base1-58"", 0.7780903577804565], [""swsh11-104"", 0.7708771228790283], [""mcd11-3"", 0.7684544920921326]]"
PXL_20260614_150138550.jpg,distinct,me2pt5-23,sv10-35,0.0011,"[[""sv10-35"", 0.9480602741241455], [""me2pt5-23"", 0.9469897747039795], [""me2pt5-29"", 0.8682701587677002], [""sv8-24"", 0.8566310405731201], [""swsh8-49"", 0.8372989892959595]]"
PXL_20260614_150336380.jpg,distinct,sv8pt5-71,me2pt5-158,0.001,"[[""me2pt5-158"", 0.9054224491119385], [""sv8pt5-71"", 0.9044333100318909], [""sv6-128"", 0.8987860679626465], [""me2pt5-153"", 0.7233753204345703], [""xy6-24"", 0.7177660465240479]]"
PXL_20260614_151411807.jpg,mixed,ygo-SGX3-ENE02-49881766,ygo-YS15-END02-49881766,0.0,"[[""ygo-YS15-END02-49881766"", 0.8654934763908386], [""ygo-YS15-ENL02-49881766"", 0.8654934763908386], [""ygo-YSDS-EN005-49881766"", 0.8654934763908386], [""ygo-SGX3-ENE02-49881766"", 0.8654934763908386], [""ygo-DCR-057-49881766"", 0.8654934763908386]]"
PXL_20260614_151428467.jpg,mixed,ygo-BLMR-EN046-97417863,ygo-RA04-EN282-76794549,0.0,"[[""ygo-RA04-EN282-76794549"", 0.7827213406562805], [""ygo-MP25-EN271-76794549"", 0.7827213406562805], [""ygo-DUEA-EN002-43785278"", 0.78059983253479], [""ygo-BLMR-EN046-97417863"", 0.7799408435821533], [""ygo-DUEA-EN071-41510920"", 0.7785381078720093]]"
PXL_20260614_151447730.jpg,mixed,ygo-SGX3-END11-32807846,ygo-5DS3-EN022-32807846,0.0,"[[""ygo-5DS3-EN022-32807846"", 0.8882787823677063], [""ygo-DASA-EN053-32807846"", 0.8882787823677063], [""ygo-LCYW-EN173-32807846"", 0.8882787823677063], [""ygo-LCJW-EN286-32807846"", 0.8882787823677063], [""ygo-DB2-EN147-32807846"", 0.8882787823677063]]"
PXL_20260614_151459012.jpg,mixed,ygo-MP24-EN319-12954226,ygo-PHHY-EN042-12954226,0.0,"[[""ygo-PHHY-EN042-12954226"", 0.893589437007904], [""ygo-MP24-EN319-12954226"", 0.893589437007904], [""ygo-MP25-EN250-93723936"", 0.8190531730651855], [""ygo-MGED-EN087-41418852"", 0.8182719945907593], [""ygo-MP24-EN111-45663742"", 0.8170834183692932]]"
PXL_20260614_151526754.jpg,mixed,mtg-snc-18,mtg-j22-200,0.0118,"[[""mtg-j22-200"", 0.9159126877784729], [""mtg-plst-SNC-18"", 0.9040931463241577], [""mtg-snc-18"", 0.9040931463241577], [""mtg-j25-212"", 0.8814586400985718], [""mtg-blc-141"", 0.877923846244812]]"
PXL_20260614_151551049.jpg,mixed,sv8pt5-112,me1-112,0.1441,"[[""me1-112"", 0.9117000102996826], [""sv6-104"", 0.7675672173500061], [""sv4pt5-171"", 0.7403274774551392], [""pl3-46"", 0.7392533421516418], [""sv6-103"", 0.7374818325042725]]"
PXL_20260614_151632925.jpg,mixed,me2pt5-16,sv8pt5-4,0.0016,"[[""sv8pt5-4"", 0.8925753235816956], [""me2pt5-16"", 0.8909985423088074], [""me2pt5-221"", 0.8047223687171936], [""sv1-91"", 0.641531229019165], [""sv5-76"", 0.6348819732666016]]"
PXL_20260614_151740892.jpg,mixed,me2pt5-161,sv10-149,0.0008,"[[""sv10-149"", 0.9195294380187988], [""me2pt5-161"", 0.9187746644020081], [""sv10-203"", 0.7841881513595581], [""sv3pt5-52"", 0.7819448113441467], [""sv10-131"", 0.7551169991493225]]"
PXL_20260614_151746897.jpg,mixed,me2pt5-17,sv7-9,0.0088,"[[""sv7-9"", 0.8205912113189697], [""me2pt5-17"", 0.8117481470108032], [""swsh12-98"", 0.6281468272209167], [""sv5-6"", 0.6095801591873169], [""rsv10pt5-50"", 0.6075541973114014]]"
PXL_20260614_151753491.jpg,mixed,me2pt5-216,bw4-93,0.0086,"[[""bw4-93"", 0.8872691988945007], [""zsv10pt5-86"", 0.8786854147911072], [""me2pt5-216"", 0.8748975992202759], [""swsh6-158"", 0.8165935277938843], [""sv6-166"", 0.8142151832580566]]"
