match_key,filename,source,width,height,aspect,orientation,mode,kb,gen_marker,collector_number,face
JAWSDERANGEDUNL,JawsDerangedUNL.png,community,1030,1438,0.716,portrait,RGBA,2588.7,,,
JAWSEATINGMACHINE,JawsEatingMachine.png,community,1030,1438,0.716,portrait,RGBA,2069.8,,,
JAWSLURKING,DOT_004_JAWS_LURKING.jpg,community,1030,1438,0.716,portrait,RGB,844.5,,004,lurking
JAWSLURKING,DOT_440_JAWS_LURKING.png,community,1030,1438,0.716,portrait,RGBA,1976.1,,440,lurking
JAWSLURKING,Jaws_Scourge_Lurking.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,126.5,,,lurking
JAWSRAVAGERFROMTHEDEEP,JawsRavagerFromTheDeep.png,community,1030,1438,0.716,portrait,RGBA,2139.5,,,
JAWSUNLEASHED,DOT_440_JAWS_UNLEASHED.png,community,1030,1438,0.716,portrait,RGBA,2078.2,,440,unleashed
JAWSUNLEASHED,Jaws_Scourge_Unleashed.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,204.6,,,unleashed
JOHNHARKER,JohnHarker.png,community,1030,1438,0.716,portrait,RGBA,2065.0,,,
KARL,Karl.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,159.7,,,
KATRINAVANTASSEL,KatrinaVanTassel.png,community,1030,1438,0.716,portrait,RGBA,1848.8,,,
KENNELMASTER,Kennelmaster.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,137.4,,,
KILLERWHALE,KillerWhale.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,135.0,,,
LADYVANTASSEL,LadyVanTassel.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,166.2,,,
LARRYVAUGHN,LarryVaughn.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,146.4,,,
LEEABBOT,LeeAbbot.png,community,1030,1438,0.716,portrait,RGBA,2448.1,,,
LIFEGUARD,Lifeguard.png,community,1030,1438,0.716,portrait,RGBA,1860.5,,,
LIGHTNINGTOWER,LightningTower.jpg,dawn_of_terror,1500,996,1.506,landscape,RGB,94.0,,,
LUCYWESTON,LucyWeston.png,community,341,477,0.715,portrait,RGB,211.5,,,
LUCYWESTON,LucyWeston.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,144.8,,,
LUDWIG,Ludwig.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,128.2,,,
M1RIFLE,M1Rifle.png,community,1030,1438,0.716,portrait,RGBA,2004.8,,,
MACHETE,DOT_131_MACHETE.jpeg,community,945,2048,0.461,portrait,RGB,147.5,,131,
MACHETE,Machete.png,community,1030,1438,0.716,portrait,RGBA,1808.4,,,
MALEVOLENTMIST,MalevolentMist.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,135.7,,,
MANOWAR,ManOWar.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,142.6,,,
MARCUSABBOT,MarcusAbbot.png,community,1030,1438,0.716,portrait,RGBA,1694.5,,,
MARISHKA,Marishka.png,community,341,477,0.715,portrait,RGB,215.6,,,
MARISHKA,Marishka.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,147.5,,,
MARTINBRODY,MartinBrody.png,community,1030,1438,0.716,portrait,RGBA,1929.8,,,
MATTHOPPER,MattHopper.png,community,1030,1438,0.716,portrait,RGBA,2540.5,,,
MENACINGDEATHANGEL,MenacingDeathAngel.png,community,1030,1438,0.716,portrait,RGBA,1703.9,,,
MINASEWARD,MinaSeward.png,community,341,477,0.715,portrait,RGB,175.6,,,
MINASEWARD,MinaSeward.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,118.0,,,
MURDERBEGETSMURDER,MurderBegetsMurder.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,134.6,,,
NARROWESCAPE,NarrowEscape.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,163.6,,,
ORCA,Orca.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,156.5,,,
OXYGENTANK,OxygenTank.png,community,1030,1438,0.716,portrait,RGBA,2080.3,,,
PIERCINGSCREAM,PiercingScream.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,149.2,,,
PULVERIZE,Pulverize.png,community,1030,1438,0.716,portrait,RGBA,1869.0,,,
RAMPAGINGDEATHANGEL,RampagingDeathAngel.png,community,1030,1438,0.716,portrait,RGBA,1989.3,,,
RAVENOUSPREDATOR,RavenousPredator.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,130.3,,,
RAZORSHARPCLAWS,Razor-SharpClaws.png,community,1030,1438,0.716,portrait,RGBA,2262.6,,,
REAGANABBOT,ReaganAbbot.png,community,1030,1438,0.716,portrait,RGBA,2564.4,,,
RENFIELD,RenField.png,community,341,477,0.715,portrait,RGB,228.2,,,
RENFIELD,RenField.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,160.0,,,
RGA,RGA.png,community,1030,1438,0.716,portrait,RGBA,1707.5,,,
ROGUESHARK,RogueShark.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,140.9,,,
ROUGHTAILSTINGRAY,RoughtailStingray.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,127.7,,,
RUSTYBEARTRAP,RustyBearTrap.png,community,1030,1438,0.716,portrait,RGBA,1963.5,,,
SCAVENGE,Scavenge.png,community,1030,1438,0.716,portrait,RGBA,1724.3,,,
SDA,SDA.png,community,1030,1438,0.716,portrait,RGBA,1707.7,,,
SET1FULLCARDPOOLEN22000,Set_1_Full_Card_Pool_EN-22-000.png,community,2100,1500,1.4,landscape,RGB,1540.9,,,
SET1FULLCARDPOOLEN29000,Set_1_Full_Card_Pool_EN-29-000.png,community,2100,1500,1.4,landscape,RGB,1368.2,,,
SHARK,GEN_DOT_T2_SHARK.jpeg,community,945,2048,0.461,portrait,RGB,140.9,GEN,T2,
SHARKINTHEPOND,SharkInThePond.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,145.2,,,
SHARKSPOTTER,SharkSpotter.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,153.0,,,
SHARKTOKEN,SharkToken.png,community,1030,1438,0.716,portrait,RGBA,1676.9,,,
SILENTPATROL,silentpatrol.png,community,1030,1438,0.716,portrait,RGBA,1868.1,,,
SMILEYOUSONFA,SmileYouSonfa.png,community,1030,1438,0.716,portrait,RGBA,1892.7,,,
SPECTRALASSASSIN,SpectralAssassin.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,157.7,,,
SPELLBOOK,Spellbook.png,community,1030,1438,0.716,portrait,RGBA,1770.6,,,
STRANGEAPPARITION,StrangeApparition.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,121.8,,,
STRENGTHINNUMBERS,StrengthInNumbers.png,community,1030,1438,0.716,portrait,RGBA,2007.5,,,
SUMMONINGRITUAL,SummoningRitual.png,community,1030,1438,0.716,portrait,RGBA,2035.8,,,
SWARMOFRATS,SwarmOfRats.png,community,341,477,0.715,portrait,RGB,196.2,,,
SWARMOFRATS,SwarmOfRats.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,128.9,,,
THEBRIDELURKING,GEN_DOT_008_THE_BRIDE_LURKING.png,community,750,1050,0.714,portrait,RGB,1114.2,GEN,008,lurking
THEBRIDELURKING,TheBride_KBL_Lurking.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,165.3,,,lurking
THEBRIDEMINION,TheBrideMinion.png,community,1030,1438,0.716,portrait,RGBA,2353.0,,,
THEBRIDEUNLEASHED,GEN_DOT_008_THE_BRIDE_UNLEASHED.png,community,750,1050,0.714,portrait,RGB,1239.9,GEN,008,unleashed
THEBRIDEUNLEASHED,TheBride_KBL_Unleashed.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,196.3,,,unleashed
THREATFROMBELOW,ThreatFromBelow.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,140.0,,,
TOKEN001,token-001.png,community,1650,2250,0.733,portrait,RGB,3501.2,,,
TRANSFORM,Transform.png,community,1030,1438,0.716,portrait,RGBA,1833.3,,,
TRANSYLVANIANWOLF,TransylvanianWolf.png,community,341,477,0.715,portrait,RGB,199.5,,,
TRANSYLVANIANWOLF,TransylvanianWolf.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,127.5,,,
TREEOFTHEDEAD,TreeOfTheDead.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,130.9,,,
UNLEASHED,DOT_004_UNLEASHED.jpg,community,1030,1438,0.716,portrait,RGB,1146.5,,004,unleashed
VAMPIREFANGS,VampireFangs.png,community,1030,1438,0.716,portrait,RGBA,1825.8,,,
VAMPIRESCOFFIN,VampiresCoffin.png,community,341,477,0.715,portrait,RGB,214.6,,,
VAMPIRESCOFFIN,VampiresCoffin.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,139.7,,,
VERONA,Verona.png,community,341,477,0.715,portrait,RGB,203.7,,,
VERONA,Verona.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,130.0,,,
VETERANHARPOONER,VeteranHarpooner.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,155.8,,,
VILLAGERIFLEMAN,VillageRifleman.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,132.7,,,
WARDINGSIGN,WardingSign.jpg,dawn_of_terror,750,1050,0.714,portrait,RGB,177.6,,,
WEBELONGDEAD,WeBelongDead.png,community,1030,1438,0.716,portrait,RGBA,2271.6,,,
WEBELONGTOGETHER,DOT_064_WE_BELONG_TOGETHER.jpeg,community,945,2048,0.461,portrait,RGB,209.2,,064,
YOUTHFULVAMPIRE,DOT_029_YOUTHFUL_VAMPIRE.jpeg,community,945,2048,0.461,portrait,RGB,161.7,,029,
YOUTHFULVAMPIRE,Youthful_Vampire.png,community,1030,1438,0.716,portrait,RGBA,1996.1,,,
